"","Part","Cluster_True","Cluster_False","Subclass_True","Neighborhood_True","Class_True","Subclass_False","Neighborhood_False","Class_False"
"1",1,9231,769,9817,9998,10000,183,2,0
"2",2,9234,766,9842,9990,10000,158,10,0
"3",3,8892,1108,9644,9935,10000,356,65,0
"4",4,8905,1095,9791,9987,10000,209,13,0
"5",5,8982,1018,9831,9983,10000,169,17,0
"6",6,9093,907,9820,9989,10000,180,11,0
"7",7,8976,1024,9860,9980,10000,140,20,0
"8",8,8945,1055,9820,9982,10000,180,18,0
"9",9,9037,963,9612,9891,10000,388,109,0
"10",10,9276,724,9665,9863,10000,335,137,0
"11",11,8955,1045,9629,9919,10000,371,81,0
"12",12,9054,946,9680,9882,10000,320,118,0
"13",13,9220,780,9603,9959,10000,397,41,0
"14",14,9397,603,9808,9980,10000,192,20,0
"15",15,9210,790,9675,9911,10000,325,89,0
"16",16,9210,790,9661,9949,10000,339,51,0
"17",17,9103,897,9915,9959,10000,85,41,0
"18",18,9444,556,9872,9956,10000,128,44,0
"19",19,9270,730,9745,9990,10000,255,10,0
"20",20,9250,750,9711,9929,10000,289,71,0
"21",21,9283,717,9816,9942,10000,184,58,0
"22",22,9131,869,9813,9994,10000,187,6,0
"23",23,8867,1133,9714,10000,10000,286,0,0
"24",24,9066,934,9865,9936,10000,135,64,0
"25",25,8761,1239,9843,9940,10000,157,60,0
"26",26,9143,857,9876,9995,10000,124,5,0
"27",27,9108,892,9943,9978,10000,57,22,0
"28",28,513,32,545,545,545,0,0,0
